Gene,sgRNA,T47D_veh|beta,T47D_veh|z,T47D_veh|p-value,T47D_veh|fdr,T47D_veh|wald-p-value,T47D_veh|wald-fdr,T47D_E2|beta,T47D_E2|z,T47D_E2|p-value,T47D_E2|fdr,T47D_E2|wald-p-value,T47D_E2|wald-fdr,MCF7_veh|beta,MCF7_veh|z,MCF7_veh|p-value,MCF7_veh|fdr,MCF7_veh|wald-p-value,MCF7_veh|wald-fdr,MCF7_E2|beta,MCF7_E2|z,MCF7_E2|p-value,MCF7_E2|fdr,MCF7_E2|wald-p-value,MCF7_E2|wald-fdr
NEK7,6,0.36289,7.7555,0.1477,0.83084,8.80E-15,1.13E-13,0.21418,4.0635,0.38946,0.91496,4.83E-05,0.00017789,0.11686,2.3799,0.75572,0.97915,0.017316,0.029899,0.14562,2.9493,0.5614,0.94471,0.0031844,0.0072311
EFS,6,0.36301,7.6442,0.14765,0.8308,2.10E-14,2.57E-13,-0.14816,-2.5905,0.3152,0.88727,0.0095834,0.019977,0.21129,4.3051,0.44259,0.9181,1.67E-05,5.18E-05,0.2978,6.0858,0.1625,0.78677,1.16E-09,9.82E-09
GCNT4,6,0.36305,7.0811,0.1476,0.8308,1.43E-12,1.35E-11,0.067624,1.071,0.93688,0.99456,0.28418,0.36933,0.20909,3.8765,0.44905,0.9201,0.00010596,0.00028604,0.1098,1.9646,0.70484,0.9625,0.049458,0.081391
NOTCH1,6,0.36323,8.1207,0.14738,0.8308,4.63E-16,7.01E-15,0.3772,7.9385,0.093651,0.74476,2.05E-15,4.93E-14,0.094768,2.0455,0.83818,0.98294,0.040807,0.064423,0.10838,2.3265,0.71011,0.9625,0.019992,0.036928
TPRX1,6,0.36333,7.6764,0.14728,0.8308,1.64E-14,2.03E-13,-0.036281,-0.64469,0.64488,0.96597,0.51913,0.60444,0.33287,6.9067,0.18143,0.80461,4.96E-12,4.15E-11,0.11989,2.3874,0.66395,0.95631,0.01697,0.031966
ZNF677,6,0.36358,7.1156,0.14705,0.83023,1.11E-12,1.06E-11,-0.073443,-1.2876,0.52097,0.94701,0.19788,0.27308,0.0039097,0.076691,0.80816,0.98168,0.93887,0.95329,0.081742,1.6069,0.8231,0.97962,0.10807,0.15998
DPH3P1,6,0.36362,7.293,0.14696,0.83014,3.03E-13,3.13E-12,0.11138,2.0674,0.75411,0.97705,0.038693,0.067498,0.15561,3.1505,0.61774,0.95956,0.00163,0.0034998,0.21571,4.3646,0.3383,0.89307,1.27E-05,4.97E-05
PTMA,6,0.36372,6.5936,0.14673,0.8297,4.29E-11,3.28E-10,0.53843,9.0009,0.021361,0.60836,2.24E-19,9.08E-18,-0.82904,-11.193,0.006876,0.58128,4.43E-29,2.41E-27,-0.57793,-8.2206,0.017144,0.59095,2.03E-16,5.00E-15
RAB27B,6,0.36373,7.4358,0.14673,0.8297,1.04E-13,1.15E-12,0.27773,5.0379,0.23346,0.84422,4.71E-07,2.64E-06,0.18565,3.6327,0.51969,0.93532,0.0002805,0.00069695,0.25039,4.8996,0.24992,0.84848,9.60E-07,4.71E-06
UBE2B,6,0.36374,6.986,0.14669,0.8297,2.83E-12,2.56E-11,0.020958,0.32064,0.86991,0.98918,0.74849,0.80565,0.15406,2.7737,0.62191,0.95956,0.0055426,0.010651,0.16181,2.8764,0.50511,0.93643,0.0040223,0.0089169
MSH3,6,0.36391,6.6377,0.14669,0.8297,3.19E-11,2.49E-10,0.33471,5.2343,0.13995,0.79688,1.66E-07,1.02E-06,0.4627,8.4204,0.063076,0.68288,3.75E-17,6.08E-16,0.15368,2.5685,0.53207,0.939,0.010214,0.020375
ZNF557,6,0.36391,7.7812,0.14669,0.8297,7.19E-15,9.31E-14,0.042717,0.79845,0.95929,0.99572,0.42461,0.51458,0.10326,2.1114,0.80651,0.98139,0.034739,0.055846,0.11345,2.3024,0.6893,0.96114,0.021312,0.039029
CNNM4,6,0.36406,6.7949,0.14655,0.8297,1.08E-11,9.07E-11,0.18853,3.0595,0.46894,0.93758,0.0022173,0.0054811,0.47333,8.8335,0.057713,0.67279,1.01E-18,1.98E-17,-0.0068757,-0.11708,0.79569,0.97561,0.9068,0.93021
HEXIM1,6,0.36419,7.1596,0.14628,0.82926,8.09E-13,7.86E-12,0.31895,5.5674,0.16337,0.81495,2.59E-08,1.86E-07,-0.045709,-0.82024,0.6303,0.96108,0.41208,0.48597,-0.13116,-2.2831,0.36603,0.90399,0.022422,0.040833
GPR128,6,0.3643,7.2655,0.14609,0.82887,3.72E-13,3.78E-12,0.21678,3.7923,0.38166,0.91187,0.00014927,0.00049144,0.2654,5.1289,0.30708,0.87049,2.92E-07,1.21E-06,0.29137,5.596,0.17254,0.79178,2.19E-08,1.47E-07
AKAP2,6,0.36434,7.2173,0.14605,0.82887,5.30E-13,5.26E-12,0.19137,3.2584,0.45886,0.93307,0.0011205,0.0029795,0.48908,9.7111,0.050195,0.65334,2.70E-22,7.68E-21,0.13588,2.5087,0.6,0.9507,0.012117,0.023716
GAPT,6,0.36435,7.3093,0.14605,0.82887,2.69E-13,2.81E-12,0.18441,3.2303,0.48389,0.94216,0.0012366,0.0032542,0.41604,8.2793,0.093239,0.72228,1.24E-16,1.88E-15,0.30803,5.9752,0.14802,0.77268,2.30E-09,1.85E-08
TARBP1,6,0.36443,7.3632,0.146,0.82887,1.80E-13,1.91E-12,0.15824,2.7188,0.57433,0.95606,0.0065521,0.014285,0.24038,4.6713,0.36516,0.89006,2.99E-06,1.05E-05,-0.0063964,-0.11695,0.79812,0.97601,0.9069,0.93027
TCTA,6,0.36458,7.4744,0.14591,0.82887,7.76E-14,8.76E-13,0.42527,7.9969,0.057208,0.67967,1.28E-15,3.19E-14,0.2833,5.6534,0.2694,0.85401,1.57E-08,8.04E-08,0.21733,4.2502,0.33339,0.89169,2.14E-05,7.93E-05
CX3CR1,6,0.36476,7.4788,0.14563,0.82887,7.50E-14,8.50E-13,0.1751,3.1362,0.51419,0.94701,0.0017114,0.0043428,0.20621,4.0676,0.45762,0.92103,4.75E-05,0.00013605,0.29705,5.6266,0.16374,0.78683,1.84E-08,1.25E-07
STAC,6,0.36477,7.8215,0.14559,0.82887,5.22E-15,6.88E-14,0.15361,2.9305,0.59225,0.95858,0.0033837,0.0079947,0.057088,1.1622,0.98437,0.99824,0.24516,0.31078,0.15311,3.1307,0.53417,0.93979,0.0017438,0.0042217
GNG7,6,0.36485,6.7372,0.14545,0.82887,1.61E-11,1.32E-10,-0.06026,-0.91635,0.56149,0.95273,0.35948,0.44933,-0.13447,-2.2343,0.367,0.89032,0.025464,0.042371,-0.079062,-1.3113,0.52152,0.93873,0.18975,0.2595
USP40,6,0.36498,7.3825,0.14531,0.82887,1.55E-13,1.66E-12,0.42834,7.9416,0.05565,0.6709,2.00E-15,4.82E-14,0.51709,10.518,0.039972,0.63905,7.11E-26,2.95E-24,0.56339,11.433,0.013981,0.59095,2.87E-30,3.75E-28
EYA2,6,0.36528,7.8994,0.14467,0.82704,2.80E-15,3.82E-14,0.19057,3.6861,0.46175,0.93429,0.00022774,0.0007218,-0.2924,-5.6745,0.11639,0.74655,1.39E-08,7.16E-08,-0.067999,-1.356,0.55916,0.94398,0.17508,0.24221
COQ9,6,0.36542,7.5302,0.14458,0.82674,5.07E-14,5.86E-13,0.22396,4.0335,0.362,0.90519,5.50E-05,0.0002001,0.10423,2.0248,0.80284,0.98139,0.042891,0.067334,-0.078783,-1.4598,0.52281,0.93873,0.14435,0.20515
CCDC169-SOHLH2,5,0.36568,6.4459,0.1443,0.8256,1.15E-10,8.17E-10,0.48097,7.8513,0.033738,0.62153,4.12E-15,9.48E-14,0.3616,6.2742,0.14398,0.7758,3.51E-10,2.27E-09,0.071636,1.1751,0.86674,0.98561,0.23997,0.3156
SDSL,6,0.36571,7.1288,0.14426,0.8256,1.01E-12,9.72E-12,0.22042,3.6189,0.3713,0.90628,0.00029585,0.00091041,0.22424,4.1606,0.40857,0.9068,3.17E-05,9.38E-05,0.40168,7.627,0.055833,0.62368,2.40E-14,4.34E-13
CEP19,6,0.36585,7.7713,0.14412,0.8252,7.77E-15,1.00E-13,-0.034394,-0.62537,0.6512,0.96665,0.53173,0.61595,0.15771,3.2198,0.61018,0.95557,0.0012827,0.0028131,0.24042,4.9206,0.27385,0.86139,8.63E-07,4.28E-06
MRGPRX1,6,0.36592,7.6084,0.14403,0.8252,2.77E-14,3.33E-13,0.33398,6.2631,0.14073,0.79695,3.78E-10,3.79E-09,0.27434,5.5466,0.28833,0.8657,2.91E-08,1.42E-07,0.30047,6.0399,0.15906,0.78575,1.54E-09,1.28E-08
OSGIN1,6,0.36593,7.4486,0.14403,0.8252,9.44E-14,1.05E-12,0.12343,2.1407,0.70617,0.9717,0.032296,0.057665,0.14233,2.7455,0.66225,0.96549,0.0060421,0.011517,-0.252,-4.4327,0.14325,0.76672,9.31E-06,3.72E-05
CAPSL,6,0.36602,6.2383,0.14398,0.8252,4.42E-10,2.89E-09,-0.30448,-3.5556,0.10442,0.76074,0.00037713,0.001129,0.57504,10.026,0.026404,0.62148,1.17E-23,3.84E-22,0.25558,4.0593,0.238,0.8359,4.92E-05,0.00016947
CRCT1,6,0.36606,7.3756,0.14398,0.8252,1.64E-13,1.74E-12,0.32608,5.7923,0.15301,0.80886,6.94E-09,5.55E-08,-0.23057,-4.0433,0.18716,0.80926,5.27E-05,0.00014972,-0.070074,-1.2564,0.55173,0.94304,0.20896,0.28151
KIR3DL3,6,0.36625,7.9329,0.14394,0.8252,2.14E-15,2.97E-14,0.16182,3.1347,0.56021,0.95273,0.0017205,0.0043628,0.32655,6.9584,0.19124,0.81152,3.44E-12,2.95E-11,0.15963,3.3052,0.51281,0.93742,0.00094911,0.0024434
OR2T5,4,0.36627,6.1213,0.14389,0.8252,9.28E-10,5.81E-09,0.14717,2.1101,0.61458,0.96273,0.034849,0.061647,0.29093,4.7268,0.2535,0.84869,2.28E-06,8.21E-06,0.45913,7.5814,0.032959,0.60015,3.42E-14,6.02E-13
CLPSL1,6,0.36657,7.4223,0.14343,0.8252,1.15E-13,1.26E-12,0.30012,5.4664,0.19344,0.83809,4.59E-08,3.13E-07,0.49701,10.091,0.047032,0.65135,6.05E-24,2.05E-22,0.49123,9.8808,0.025395,0.59095,5.04E-23,3.06E-21
TMEM257,6,0.36669,7.6492,0.14339,0.8252,2.02E-14,2.48E-13,0.24155,4.4726,0.31506,0.88727,7.73E-06,3.39E-05,0.2765,5.6118,0.28315,0.86295,2.00E-08,1.01E-07,0.13695,2.6928,0.59569,0.94944,0.0070862,0.014739
RNF215,6,0.36699,7.9725,0.14325,0.8252,1.56E-15,2.19E-14,0.15007,2.9468,0.60426,0.96052,0.0032112,0.0076343,0.38033,8.1864,0.12468,0.75674,2.69E-16,3.90E-15,0.31462,6.682,0.13821,0.75983,2.36E-11,2.67E-10
PLP2,6,0.36711,6.9029,0.14298,0.8252,5.10E-12,4.46E-11,0.2145,3.4034,0.38859,0.91465,0.00066561,0.0018748,0.16144,2.8516,0.59702,0.95338,0.0043494,0.0085432,-0.075615,-1.2457,0.53303,0.9392,0.21287,0.28573
FAM120C,6,0.3672,7.7865,0.14293,0.8252,6.89E-15,8.96E-14,0.12879,2.3856,0.68412,0.96899,0.017052,0.033121,0.13265,2.6856,0.69732,0.96972,0.0072407,0.013572,0.22539,4.5825,0.31322,0.88487,4.59E-06,1.97E-05
STON1,5,0.3672,6.6114,0.14293,0.8252,3.81E-11,2.93E-10,-0.14588,-2.2337,0.32038,0.88831,0.025506,0.046998,0.14424,2.4956,0.65625,0.96515,0.012573,0.022367,-0.04006,-0.67007,0.66069,0.95631,0.50281,0.58267
BATF3,6,0.36721,7.6317,0.14293,0.8252,2.32E-14,2.82E-13,0.17336,3.1426,0.51996,0.94701,0.0016748,0.0042598,0.31576,6.417,0.20931,0.82892,1.39E-10,9.58E-10,0.24274,4.8306,0.26761,0.85677,1.36E-06,6.50E-06
ZNF85,6,0.36727,7.2021,0.14279,0.8252,5.93E-13,5.85E-12,0.24278,4.2043,0.31194,0.88613,2.62E-05,0.00010207,-0.17539,-3.086,0.27747,0.85924,0.0020286,0.004267,-0.12748,-2.236,0.37483,0.90555,0.025351,0.045487
C10orf111,6,0.36734,7.444,0.14275,0.8252,9.77E-14,1.08E-12,0.25495,4.5254,0.28416,0.8731,6.03E-06,2.71E-05,-0.0029833,-0.055693,0.78212,0.97974,0.95559,0.96559,-0.044755,-0.81793,0.64323,0.95631,0.4134,0.49696
GLO1,6,0.36734,7.1644,0.14275,0.8252,7.81E-13,7.60E-12,0.20602,3.432,0.4138,0.9241,0.00059921,0.0017034,0.22541,4.2042,0.40545,0.9068,2.62E-05,7.85E-05,0.33019,6.2054,0.11708,0.72958,5.46E-10,4.90E-09
SLC13A5,6,0.36746,7.7915,0.14261,0.8252,6.62E-15,8.62E-14,0.51259,10.184,0.02622,0.60893,2.33E-24,1.82E-22,0.26995,5.5741,0.29805,0.86728,2.49E-08,1.23E-07,0.045838,0.9063,0.98249,0.99731,0.36478,0.44822
PICALM,6,0.3675,7.5747,0.14261,0.8252,3.60E-14,4.25E-13,0.24906,4.5364,0.29741,0.88096,5.72E-06,2.58E-05,-0.1388,-2.5863,0.35787,0.88679,0.0097025,0.017699,-0.11884,-2.195,0.39899,0.91347,0.028162,0.04985
PACSIN3,6,0.36754,7.2783,0.14256,0.8252,3.38E-13,3.46E-12,-0.40412,-5.2458,0.04914,0.66018,1.56E-07,9.60E-07,0.20485,3.8649,0.46124,0.92141,0.00011113,0.00029848,0.26913,5.0775,0.21027,0.82245,3.83E-07,2.03E-06
MSX1,6,0.3676,7.742,0.14247,0.8252,9.79E-15,1.25E-13,0.31699,6.0565,0.16571,0.81511,1.39E-09,1.26E-08,0.26441,5.4188,0.30919,0.87049,6.00E-08,2.80E-07,0.39718,8.2144,0.058354,0.63049,2.13E-16,5.22E-15
LEPREL1,6,0.36768,7.1266,0.14247,0.8252,1.03E-12,9.85E-12,0.058006,0.94814,0.97703,0.99744,0.34306,0.43219,0.34213,6.4973,0.168,0.79341,8.18E-11,5.81E-10,0.14758,2.6838,0.55356,0.94395,0.0072797,0.015097
ARMCX3,6,0.36791,7.9126,0.14224,0.8252,2.52E-15,3.46E-14,0.38445,7.5959,0.087188,0.73122,3.06E-14,6.06E-13,0.28212,5.9235,0.27156,0.85589,3.15E-09,1.77E-08,0.41174,8.7178,0.050974,0.61568,2.84E-18,9.22E-17
SEMA3E,6,0.3681,6.7966,0.1421,0.8252,1.07E-11,8.97E-11,0.18508,2.8238,0.48127,0.94122,0.0047461,0.010773,0.62353,11.841,0.019253,0.61286,2.39E-32,1.84E-30,0.49552,9.0627,0.024341,0.59095,1.27E-19,5.05E-18
GCM2,6,0.36814,7.7177,0.14197,0.8252,1.18E-14,1.50E-13,0.47112,9.1572,0.037635,0.6384,5.33E-20,2.36E-18,0.31624,6.4884,0.20839,0.8279,8.67E-11,6.15E-10,0.39186,8.0523,0.062709,0.64437,8.12E-16,1.83E-14
QDPR,6,0.36819,7.2528,0.14197,0.8252,4.08E-13,4.13E-12,0.55124,10.033,0.019069,0.59599,1.09E-23,7.70E-22,-0.045222,-0.80663,0.63168,0.96108,0.41988,0.49373,0.043298,0.77635,0.99289,0.99871,0.43754,0.52062
CLDN20,6,0.36824,7.2001,0.14169,0.8252,6.02E-13,5.93E-12,0.20795,3.4176,0.4083,0.92152,0.00063187,0.0017883,0.54385,10.757,0.032776,0.62817,5.47E-27,2.47E-25,0.24356,4.4901,0.26569,0.8563,7.12E-06,2.92E-05
LAMTOR4,6,0.36835,7.0457,0.14142,0.8252,1.85E-12,1.71E-11,0.20225,3.2357,0.42562,0.92723,0.0012136,0.0032021,-0.088468,-1.4957,0.49264,0.93226,0.13474,0.18455,0.010631,0.18128,0.86885,0.98571,0.85615,0.88988
GNGT2,6,0.36853,6.692,0.14128,0.8252,2.20E-11,1.77E-10,0.32775,5.1484,0.15003,0.80477,2.63E-07,1.56E-06,0.27239,4.7418,0.29283,0.86657,2.12E-06,7.66E-06,0.2496,4.2635,0.25152,0.84848,2.01E-05,7.51E-05
SEC31B,6,0.36859,6.7998,0.14123,0.8252,1.05E-11,8.77E-11,0.079447,1.2039,0.88604,0.9894,0.22864,0.30803,0.50224,9.3062,0.045061,0.65135,1.33E-20,3.16E-19,0.51921,9.5365,0.020124,0.59095,1.48E-21,7.55E-20
KIAA0226L,6,0.36861,6.705,0.14119,0.8252,2.01E-11,1.63E-10,0.29505,4.632,0.20138,0.84038,3.62E-06,1.70E-05,0.10171,1.7155,0.81325,0.98263,0.086247,0.12468,0.074148,1.2254,0.85464,0.98333,0.22044,0.29396
ARHGEF35,6,0.36868,6.8734,0.14105,0.8252,6.27E-12,5.43E-11,0.31893,5.1338,0.16337,0.81495,2.84E-07,1.67E-06,0.045804,0.77961,0.9702,0.99619,0.43562,0.50942,0.35984,6.4698,0.086729,0.68427,9.81E-11,1.01E-09
NCR1,6,0.36902,7.8765,0.14068,0.8252,3.37E-15,4.53E-14,0.14799,2.806,0.6116,0.96249,0.0050162,0.011332,0.10787,2.1993,0.78927,0.98025,0.027857,0.045889,0.19916,4.0755,0.38515,0.90845,4.59E-05,0.00015912
MALT1,6,0.36914,7.9097,0.14059,0.8252,2.58E-15,3.53E-14,0.41175,8.1481,0.066193,0.70316,3.70E-16,1.01E-14,0.18105,3.7354,0.53353,0.93853,0.00018745,0.00048182,0.21119,4.336,0.35031,0.897,1.45E-05,5.59E-05
CXCL16,6,0.36921,7.5829,0.14059,0.8252,3.38E-14,4.00E-13,0.18672,3.3396,0.47522,0.93853,0.00083894,0.0023044,0.071647,1.381,0.92652,0.99142,0.16729,0.22288,0.036349,0.68817,0.97685,0.99645,0.49135,0.57228
LIMS2,6,0.36922,7.4563,0.14059,0.8252,8.90E-14,9.96E-13,0.0090154,0.14935,0.82026,0.98407,0.88128,0.9121,-0.042847,-0.78812,0.63896,0.96108,0.43063,0.50463,0.050487,0.93416,0.96131,0.99508,0.35022,0.43333
CALHM2,6,0.36945,6.5506,0.14041,0.8252,5.73E-11,4.29E-10,-0.2222,-3.0228,0.18831,0.83148,0.0025043,0.0061089,-0.054109,-0.86604,0.60055,0.95341,0.38647,0.46015,0.14261,2.3462,0.57305,0.94631,0.018965,0.035241
OR1B1,6,0.36948,8.1653,0.14041,0.8252,3.21E-16,4.94E-15,0.27127,5.5157,0.24689,0.8457,3.47E-08,2.43E-07,0.088964,1.8876,0.86055,0.98382,0.059083,0.089328,0.037328,0.78062,0.98107,0.99688,0.43502,0.5183
ZFAND5,6,0.36963,7.2866,0.14027,0.8252,3.18E-13,3.27E-12,0.20975,3.6237,0.40312,0.91882,0.0002904,0.0008957,0.23525,4.4755,0.37937,0.89636,7.62E-06,2.50E-05,0.18653,3.4842,0.42416,0.91724,0.0004937,0.0013534
SGCG,6,0.3697,7.4742,0.14009,0.82505,7.77E-14,8.77E-13,0.2291,4.0132,0.34861,0.89909,5.99E-05,0.00021573,0.16063,3.078,0.60005,0.95341,0.0020838,0.0043698,-0.0048066,-0.08804,0.80449,0.97685,0.92984,0.94823
TSACC,6,0.36976,6.6952,0.1399,0.82464,2.15E-11,1.73E-10,-0.11978,-1.6767,0.38547,0.91303,0.093604,0.14455,0.22144,3.8142,0.41586,0.91047,0.00013662,0.00036065,0.20391,3.4525,0.37098,0.90481,0.0005554,0.0015055
FZD10,6,0.36977,7.6259,0.1399,0.82464,2.42E-14,2.94E-13,0.1342,2.3941,0.66193,0.96733,0.016663,0.032441,0.21319,4.2299,0.43731,0.91502,2.34E-05,7.07E-05,-0.032516,-0.61188,0.6914,0.96125,0.54061,0.61749
TMPRSS7,6,0.36993,7.686,0.13981,0.82464,1.52E-14,1.89E-13,0.27927,5.1856,0.23053,0.84325,2.15E-07,1.30E-06,0.10082,1.9824,0.81664,0.98263,0.047431,0.073586,0.029897,0.57463,0.94852,0.9949,0.56554,0.64007
MLIP,6,0.36995,7.6726,0.13977,0.82464,1.69E-14,2.09E-13,0.28532,5.2565,0.21843,0.84292,1.47E-07,9.13E-07,0.17633,3.494,0.5488,0.94216,0.00047586,0.0011342,0.34211,6.8898,0.10314,0.70489,5.59E-12,7.03E-11
HADHB,6,0.36997,6.4248,0.13977,0.82464,1.32E-10,9.31E-10,0.029495,0.40213,0.90346,0.99108,0.68759,0.75452,0.071433,1.1295,0.92725,0.99142,0.2587,0.3256,-0.0034115,-0.052063,0.81059,0.97837,0.95848,0.96977
AUTS2,6,0.37,7.7208,0.13972,0.82464,1.16E-14,1.46E-13,0.30734,5.7918,0.18116,0.82626,6.96E-09,5.56E-08,0.23325,4.71,0.38446,0.89851,2.48E-06,8.86E-06,0.14704,2.9029,0.5559,0.94395,0.0036972,0.0082722
PIP5KL1,6,0.37003,7.311,0.13972,0.82464,2.65E-13,2.77E-12,0.37181,6.5844,0.097914,0.75157,4.57E-11,5.43E-10,0.23385,4.4378,0.38313,0.89851,9.09E-06,2.95E-05,-0.054392,-0.96539,0.60688,0.95279,0.33435,0.41713
KIAA1143,6,0.37007,7.4436,0.13967,0.82464,9.80E-14,1.09E-12,0.29705,5.2727,0.1978,0.83885,1.34E-07,8.41E-07,0.24935,4.8332,0.3455,0.88566,1.34E-06,5.02E-06,0.15671,2.9532,0.52308,0.93873,0.0031449,0.007151
ANKRD9,6,0.37009,7.6722,0.13967,0.82464,1.69E-14,2.09E-13,0.14875,2.7028,0.60857,0.96129,0.0068752,0.014904,-0.18028,-3.2501,0.26858,0.85401,0.0011536,0.0025511,0.036408,0.70132,0.97713,0.99664,0.4831,0.56451
PPIL6,6,0.37012,7.278,0.13967,0.82464,3.39E-13,3.47E-12,0.52299,9.3824,0.024479,0.60836,6.45E-21,3.20E-19,0.2692,5.09,0.2997,0.8685,3.58E-07,1.47E-06,0.2337,4.3298,0.2914,0.87502,1.49E-05,5.73E-05
GNG12,6,0.37014,6.627,0.13963,0.82464,3.43E-11,2.65E-10,-0.098409,-1.3759,0.44575,0.93112,0.16886,0.23877,0.17784,2.9991,0.54362,0.93967,0.0027074,0.0055364,0.19946,3.3333,0.38409,0.9078,0.00085818,0.0022301
CTSW,6,0.37029,6.7919,0.13949,0.82464,1.11E-11,9.24E-11,0.030859,0.47416,0.90937,0.9916,0.63538,0.70954,0.32618,5.8334,0.19179,0.81152,5.43E-09,2.95E-08,-0.020686,-0.34358,0.7383,0.96697,0.73116,0.78596
GRAPL,4,0.37031,6.6319,0.1394,0.82464,3.31E-11,2.57E-10,-0.30263,-4.4493,0.10584,0.76074,8.61E-06,3.75E-05,0.094701,1.6248,0.83841,0.98294,0.1042,0.14711,-0.14378,-2.3634,0.33266,0.89169,0.01811,0.033836
BTNL9,6,0.37038,8.1548,0.1394,0.82464,3.50E-16,5.36E-15,0.044025,0.87685,0.96466,0.99588,0.38057,0.47085,0.056763,1.1942,0.9857,0.99824,0.2324,0.29699,0.079574,1.6653,0.83287,0.98036,0.095845,0.1442
XIRP2,6,0.37054,7.6784,0.13931,0.82464,1.61E-14,2.00E-13,0.11749,2.1324,0.72863,0.97491,0.032978,0.058737,0.065151,1.2769,0.95141,0.99402,0.20163,0.2625,0.01257,0.2419,0.87761,0.98771,0.80886,0.85098
TMEM105,6,0.37084,7.462,0.13912,0.82464,8.52E-14,9.57E-13,0.27889,5.0447,0.23122,0.84325,4.54E-07,2.55E-06,0.3047,5.9927,0.22773,0.83473,2.06E-09,1.19E-08,0.42426,8.406,0.045107,0.6059,4.24E-17,1.17E-15
CYBA,6,0.37095,7.2139,0.13903,0.82464,5.44E-13,5.39E-12,0.075594,1.2367,0.90231,0.99108,0.21621,0.29411,-0.22021,-3.7713,0.20307,0.82634,0.00016241,0.0004229,-0.11086,-1.9166,0.42067,0.91724,0.055284,0.089601
OR5B17,6,0.3711,6.6979,0.1389,0.82464,2.11E-11,1.71E-10,0.55192,10.006,0.019069,0.59599,1.44E-23,9.91E-22,0.25044,4.7334,0.34298,0.88408,2.21E-06,7.96E-06,0.50085,9.8005,0.022966,0.59095,1.12E-22,6.45E-21
C5orf58,6,0.37111,7.1776,0.1389,0.82464,7.09E-13,6.94E-12,0.37304,6.3492,0.096906,0.75053,2.16E-10,2.28E-09,0.68849,13.787,0.012698,0.58135,3.04E-43,6.49E-41,0.54022,10.439,0.017419,0.59095,1.65E-25,1.29E-23
KRTAP23-1,6,0.37122,7.0712,0.13871,0.82464,1.54E-12,1.44E-11,0.3798,6.307,0.091313,0.74069,2.85E-10,2.94E-09,0.29055,5.3242,0.25427,0.84869,1.01E-07,4.56E-07,0.47111,8.8436,0.029842,0.59095,9.27E-19,3.23E-17
IFIH1,6,0.37123,7.6507,0.13871,0.82464,2.00E-14,2.45E-13,0.32115,5.9949,0.15971,0.81047,2.04E-09,1.80E-08,0.22652,4.5129,0.40261,0.90602,6.40E-06,2.13E-05,0.043579,0.83591,0.99157,0.9982,0.4032,0.48682
FBXO44,6,0.37126,7.9411,0.13867,0.82464,2.00E-15,2.79E-14,0.043428,0.79806,0.96218,0.99583,0.42484,0.51479,0.069178,1.3997,0.93596,0.99204,0.16159,0.21613,-0.043087,-0.84694,0.64992,0.95631,0.39703,0.4803
HIRIP3,6,0.37142,6.9071,0.13848,0.82464,4.95E-12,4.35E-11,0.54015,9.3051,0.021086,0.60836,1.34E-20,6.42E-19,-0.41286,-6.4707,0.048636,0.65135,9.75E-11,6.86E-10,-0.10204,-1.6876,0.44556,0.9222,0.091482,0.13852
UVRAG,6,0.37152,6.5384,0.1383,0.82464,6.22E-11,4.63E-10,-0.12755,-1.6445,0.36466,0.90569,0.10007,0.15308,0.1003,1.6094,0.81875,0.98263,0.10752,0.15124,0.040876,0.6344,0.99707,0.99931,0.52582,0.60392
RHBDL2,6,0.37155,7.8556,0.13825,0.82464,3.98E-15,5.31E-14,0.26127,4.931,0.27055,0.86825,8.18E-07,4.37E-06,0.24504,5.0197,0.35526,0.88679,5.18E-07,2.08E-06,0.28047,5.7211,0.19028,0.80023,1.06E-08,7.52E-08
STXBP1,6,0.3718,8.0032,0.13784,0.82316,1.21E-15,1.73E-14,0.35089,6.9111,0.12134,0.78257,4.81E-12,6.79E-11,0.0028038,0.056629,0.80385,0.98139,0.95484,0.96501,-0.14826,-2.8886,0.32184,0.88685,0.0038699,0.0086119
KNTC1,6,0.37188,7.9702,0.13775,0.82284,1.58E-15,2.23E-14,0.072894,1.3578,0.91414,0.99258,0.17452,0.24545,0.29891,6.2674,0.23942,0.84101,3.67E-10,2.37E-09,0.17381,3.5513,0.46312,0.92821,0.00038328,0.0010789
ARMCX1,6,0.37189,7.6567,0.13775,0.82284,1.91E-14,2.35E-13,0.44299,8.3904,0.048545,0.66018,4.84E-17,1.48E-15,0.34053,6.8772,0.16988,0.79341,6.10E-12,5.06E-11,0.50983,10.446,0.021774,0.59095,1.52E-25,1.19E-23
RPE65,6,0.37194,7.2332,0.13775,0.82284,4.72E-13,4.71E-12,-0.1911,-2.8126,0.23255,0.84367,0.0049148,0.011123,0.15444,2.8222,0.6209,0.95956,0.0047699,0.0092982,0.12938,2.3195,0.62535,0.95554,0.020368,0.037514
ARID3B,6,0.37196,7.9585,0.13775,0.82284,1.74E-15,2.44E-14,0.10738,1.8694,0.77048,0.97852,0.061573,0.10069,0.0045601,0.091684,0.81031,0.98222,0.92695,0.94356,-0.050079,-0.98827,0.62191,0.95395,0.32302,0.40519
ATP13A4,6,0.372,7.8923,0.1377,0.82284,2.97E-15,4.02E-14,0.16313,3.0632,0.55549,0.95123,0.0021899,0.0054176,0.41709,8.7813,0.092413,0.72228,1.62E-18,3.09E-17,0.20271,4.1139,0.37442,0.90544,3.89E-05,0.00013681
